# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.78,
1.0,1.82,
2.0,1.89,
3.0,1.99,
4.0,2.02,
5.0,2.13,
6.0,2.13,
7.0,2.14,
8.0,2.21,
9.0,2.26,
10.0,2.3,
11.0,2.32,
12.0,2.39,
13.0,2.5,
14.0,2.5,
15.0,2.5,
16.0,2.5,
17.0,2.5,
18.0,2.48,
19.0,2.48,
20.0,2.48,
21.0,2.48,
22.0,2.48,
23.0,2.48,
24.0,2.48,
25.0,2.48,
26.0,2.48,
27.0,2.48,
28.0,2.48,
29.0,2.48,
30.0,2.48,
31.0,2.34,
32.0,2.33,
33.0,2.33,
34.0,2.33,
35.0,2.33,
36.0,2.33,
37.0,2.33,
38.0,2.33,
39.0,2.34,
40.0,2.34,
41.0,2.34,
42.0,2.34,
43.0,2.34,
44.0,2.34,
45.0,2.34,
46.0,2.34,
47.0,2.34,
48.0,2.34,
49.0,2.34,
50.0,2.34,
51.0,2.34,
52.0,2.34,
53.0,2.34,
54.0,2.34,
55.0,2.34,
56.0,2.35,
57.0,2.35,
58.0,2.35,
59.0,2.35,
60.0,2.32,
61.0,2.32,
62.0,2.32,
63.0,2.32,
64.0,2.32,
65.0,2.33,
66.0,2.33,
67.0,2.33,
68.0,2.33,
69.0,2.33,
70.0,2.33,
71.0,2.33,
72.0,2.33,
73.0,2.33,
74.0,2.33,
75.0,2.34,
76.0,2.36,
