# total_ram_gb=31.2
t,ram_gb,vram_gb
0.0,1.74,0.25
1.0,1.74,0.25
2.1,1.75,0.25
3.1,1.75,0.25
4.1,1.75,0.25
5.2,1.75,0.25
6.2,1.75,0.25
7.2,1.75,0.25
8.2,1.75,0.25
9.3,1.8,0.25
10.3,1.88,0.25
11.3,1.99,0.25
12.4,2.11,0.25
13.4,2.21,0.25
14.4,2.02,0.25
15.5,2.12,0.25
16.5,2.24,0.25
17.5,2.36,0.25
18.6,2.48,0.25
19.6,2.6,0.25
20.6,2.72,0.25
21.7,2.84,0.25
22.7,2.77,0.25
23.7,2.89,0.25
24.8,2.55,0.25
25.8,2.67,0.25
26.8,2.79,0.25
27.8,2.91,0.25
28.9,3.03,0.25
29.9,3.15,0.25
30.9,3.27,0.25
32.0,3.38,0.25
33.0,3.38,0.25
34.0,3.12,0.25
35.0,3.24,0.25
36.1,3.36,0.25
37.1,3.1,0.25
38.1,3.22,0.25
39.2,3.34,0.25
40.2,3.27,0.25
41.2,3.39,0.25
42.3,3.2,0.25
43.3,3.32,0.25
44.3,3.44,0.25
45.4,3.56,0.25
46.4,2.99,0.25
47.4,2.86,0.25
48.5,2.98,0.25
49.5,3.1,0.25
50.5,2.66,0.25
51.5,2.78,0.25
52.6,2.4,0.25
53.6,2.02,0.25
54.6,1.81,0.25
55.7,4.31,2.77
56.7,4.49,2.96
