# total_ram_gb=23.5
t,ram_gb,vram_gb
0.0,0.99,0.91
1.1,0.99,0.98
2.1,0.99,1.0
3.2,0.99,1.06
4.2,0.99,1.14
5.3,0.99,1.28
6.3,0.99,1.35
7.3,0.99,1.33
8.4,0.99,1.35
9.4,1.02,1.34
10.5,1.3,1.35
11.5,1.43,1.3
12.6,1.45,1.3
13.6,1.46,1.3
14.6,1.49,1.29
15.7,1.49,1.28
16.7,1.49,1.29
17.8,1.49,1.28
18.8,1.49,1.29
19.9,1.56,1.29
20.9,1.7,1.55
22.0,1.9,1.55
23.0,1.92,1.54
24.2,1.94,1.55
25.2,1.95,1.54
26.3,1.96,1.55
27.3,1.97,1.54
28.3,1.99,1.54
29.4,2.01,1.54
30.4,2.52,1.6
31.5,2.61,2.24
32.5,2.79,2.88
33.6,3.77,2.87
34.6,4.69,2.89
35.6,5.49,2.87
36.7,6.51,2.86
37.7,4.48,5.22
38.8,3.83,6.25
39.8,2.21,6.58
40.8,2.47,7.32
41.9,2.83,7.34
42.9,2.99,7.33
44.0,3.0,7.35
45.0,3.03,7.33
46.0,3.05,7.28
47.1,3.1,7.33
48.1,3.1,7.35
49.2,3.14,7.35
50.2,3.14,7.34
51.2,3.2,7.35
52.3,3.27,7.34
53.3,3.28,7.35
54.3,3.91,7.35
55.4,3.93,7.34
56.4,3.93,7.34
57.5,3.98,7.33
58.5,4.0,7.33
59.5,4.01,7.33
60.6,4.02,7.34
61.6,4.02,7.33
62.7,4.04,7.35
63.7,4.09,7.33
64.7,3.47,7.27
65.8,3.47,7.29
66.8,3.47,7.28
67.9,3.47,7.29
68.9,3.47,7.28
69.9,3.47,7.28
71.0,3.47,7.25
72.0,3.47,7.37
73.1,3.47,7.36
74.1,3.47,7.36
75.2,3.47,7.36
76.2,3.47,7.37
77.2,3.47,7.36
78.3,3.47,7.4
79.3,3.47,7.36
80.4,3.47,7.37
81.4,3.47,7.36
82.5,3.47,7.37
83.5,3.47,7.36
84.5,3.47,7.35
85.6,3.47,7.34
86.6,3.47,7.34
87.6,3.47,7.35
88.7,3.47,7.34
89.7,3.47,7.34
90.9,3.47,7.34
91.9,3.47,7.35
93.0,3.47,7.34
94.0,3.47,7.35
95.0,3.47,7.34
96.1,3.47,7.35
97.1,3.47,7.34
98.2,3.47,7.35
99.2,3.47,7.34
100.3,3.47,7.35
101.3,3.47,7.34
102.3,3.47,7.35
103.4,3.47,7.34
104.4,3.47,7.35
105.5,3.47,7.34
106.5,3.47,7.35
107.6,3.47,7.34
108.6,3.47,7.35
109.7,3.47,7.34
110.7,3.47,7.35
111.7,3.47,7.34
112.8,3.47,7.36
113.8,3.47,7.38
114.9,3.47,7.38
115.9,3.47,7.5
117.0,3.47,7.47
118.0,3.47,7.46
119.0,3.47,7.26
120.1,3.47,7.27
121.1,3.47,7.37
122.2,3.47,7.44
123.2,3.47,7.46
124.6,3.47,7.45
125.6,3.47,7.47
126.7,3.47,7.46
127.7,3.47,7.46
128.7,3.47,7.45
129.8,3.47,7.44
130.8,3.47,7.45
131.9,3.47,7.44
132.9,3.47,7.43
134.0,3.47,7.42
135.0,3.47,7.43
136.0,3.47,7.42
137.1,3.47,7.43
138.1,3.47,7.42
139.2,3.47,7.42
140.2,3.47,7.41
141.3,3.47,7.54
142.3,3.47,7.51
