# total_ram_gb=23.5
t,ram_gb,vram_gb
0.0,6.34,6.92
1.1,6.34,6.6
2.1,6.34,6.67
3.2,6.34,6.74
4.3,6.34,6.9
5.3,6.34,6.84
6.4,6.34,6.86
7.4,6.34,6.83
8.5,4.21,6.86
9.5,4.65,1.48
10.5,4.69,1.46
11.6,4.83,1.7
12.6,4.89,1.71
13.7,4.94,1.7
14.7,5.58,2.38
15.7,5.42,3.02
16.8,6.43,3.02
17.8,7.94,3.02
18.9,9.45,3.02
20.0,8.87,3.86
21.0,6.9,6.58
22.1,5.54,6.79
23.1,5.88,6.8
24.1,5.91,6.8
25.2,5.93,6.8
26.2,5.95,6.8
27.3,6.04,6.81
28.3,5.99,6.79
29.3,5.99,6.8
30.4,5.99,6.79
31.4,5.99,6.8
32.4,5.99,6.85
33.5,5.99,6.84
34.5,5.99,6.85
35.5,5.99,6.84
36.6,5.99,6.85
37.6,5.99,6.84
38.7,5.99,6.86
39.7,5.99,6.85
40.7,5.99,6.84
41.8,5.99,6.91
42.8,5.99,6.9
43.9,5.99,6.7
44.9,5.99,6.82
46.0,5.99,6.75
47.1,5.99,6.89
48.1,5.99,6.93
49.1,5.99,6.94
50.2,5.99,6.93
51.2,5.99,6.96
52.4,5.99,6.97
53.4,5.99,6.96
54.5,5.99,6.97
55.5,5.99,6.96
56.6,5.99,6.92
57.6,5.99,6.91
58.7,5.99,6.9
59.7,5.99,6.89
60.8,5.99,6.9
61.8,5.99,6.89
62.9,5.99,6.89
63.9,5.99,6.83
64.9,5.99,6.82
66.0,5.99,6.84
67.0,5.99,6.83
68.1,5.99,6.84
69.1,5.99,6.83
70.1,5.99,6.84
71.2,5.99,6.83
72.2,5.99,6.84
73.3,5.99,6.83
74.3,5.99,6.84
75.4,5.99,6.83
76.4,5.99,6.84
77.4,5.99,6.83
78.5,5.99,6.84
79.5,5.99,6.83
80.6,5.99,6.82
81.6,5.99,6.84
82.7,5.99,6.82
83.7,5.99,6.84
84.7,5.99,6.83
85.8,5.99,6.84
86.8,5.99,6.83
87.9,5.99,6.84
88.9,5.99,6.83
89.9,5.99,6.8
91.0,5.99,6.79
92.0,5.99,6.8
93.1,5.99,6.79
94.1,5.99,6.8
95.2,5.99,6.89
