# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.74,
1.0,3.74,
2.1,3.74,
3.1,3.69,
4.3,3.72,
5.3,3.74,
6.4,3.74,
7.5,3.72,
8.6,3.73,
9.7,3.74,
10.8,3.74,
11.9,3.74,
12.9,3.72,
14.0,3.73,
15.0,3.73,
16.2,3.64,
17.2,3.65,
18.4,3.72,
19.5,3.71,
20.6,3.72,
21.7,3.72,
22.7,3.71,
23.8,3.7,
24.9,3.68,
25.9,3.68,
27.0,3.73,
28.1,3.71,
29.2,3.69,
30.2,3.73,
31.4,3.72,
32.5,3.73,
33.6,3.73,
34.7,3.68,
35.8,3.71,
36.8,3.68,
37.9,3.73,
39.0,3.72,
40.1,3.72,
41.1,3.73,
42.2,3.73,
43.3,3.72,
44.3,3.72,
45.3,3.7,
46.4,3.73,
47.5,3.72,
48.6,3.71,
49.7,3.73,
50.9,3.69,
51.9,3.7,
52.9,3.64,
54.0,3.68,
55.0,3.61,
56.0,3.64,
57.0,3.7,
58.1,3.67,
59.2,3.67,
60.2,3.66,
61.4,3.71,
62.4,3.7,
63.5,3.65,
64.5,3.69,
65.5,3.7,
66.5,3.68,
67.6,3.7,
68.7,3.7,
69.9,3.7,
71.0,3.71,
72.1,3.7,
73.3,3.71,
74.4,3.71,
