# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,13.88,6.64
1.2,13.81,6.5
2.4,13.84,6.5
3.6,13.84,6.46
4.8,13.7,6.42
6.0,13.69,6.42
7.2,13.62,6.39
8.4,13.71,6.52
9.6,13.71,6.51
10.8,13.72,6.51
12.0,13.73,6.52
13.2,13.74,6.56
14.4,13.74,6.57
15.5,13.74,6.58
16.8,13.75,6.59
18.0,13.82,6.6
19.2,13.91,6.6
20.4,13.95,6.59
21.6,13.96,6.59
22.8,14.02,6.58
24.0,14.08,6.58
25.1,13.92,6.58
26.3,13.98,6.58
27.5,14.09,6.58
28.7,14.11,6.61
29.9,14.21,6.67
31.1,14.3,6.67
32.3,14.3,6.67
33.5,14.49,6.67
34.7,14.67,6.67
36.0,14.77,6.67
37.2,14.85,6.66
38.5,14.96,6.65
39.7,14.72,6.66
40.9,14.85,6.66
42.2,14.98,6.66
43.4,15.0,6.66
44.6,14.93,6.66
45.8,14.93,6.66
47.0,14.88,6.67
48.2,14.92,6.66
49.5,15.0,6.67
50.7,15.07,6.66
51.9,15.06,6.67
53.1,14.98,6.66
54.3,14.97,6.67
55.5,14.95,6.66
56.8,15.02,6.66
58.0,15.03,6.66
59.2,14.99,6.66
60.4,14.96,6.66
61.6,14.95,6.66
62.9,15.06,6.66
64.1,15.06,6.66
65.4,15.04,6.66
66.6,14.92,6.66
67.8,14.79,6.66
69.1,14.83,6.66
70.4,14.84,6.6
71.6,14.92,6.6
72.8,15.0,6.61
74.1,14.91,6.6
75.3,14.92,6.61
76.5,14.87,6.6
77.8,14.91,6.61
79.1,15.01,6.6
80.3,14.95,6.61
81.6,14.92,6.6
82.8,14.98,6.61
84.1,15.04,6.6
85.4,15.08,6.61
86.6,14.95,6.6
87.8,14.91,6.6
89.0,15.03,6.6
90.3,15.18,6.6
91.5,15.32,6.6
92.8,15.44,6.6
94.0,15.57,6.6
95.2,15.68,6.6
96.4,15.89,6.6
97.6,16.16,6.6
98.9,16.43,6.6
100.1,16.68,6.6
101.3,16.94,6.6
102.6,17.17,6.6
103.8,17.4,6.6
105.0,17.61,6.6
106.2,17.87,6.6
107.4,18.13,6.6
108.6,18.37,6.6
109.9,18.62,6.6
111.1,18.87,6.6
112.3,19.13,6.6
113.6,19.43,6.6
114.8,19.7,6.6
116.1,19.99,6.6
117.2,20.24,6.6
118.5,20.51,6.6
119.7,20.8,6.6
120.9,21.09,6.61
122.1,19.37,6.6
123.3,16.23,6.6
124.5,15.81,7.21
125.7,15.06,7.9
126.9,14.34,8.62
128.1,13.73,9.15
129.3,13.74,9.17
130.5,13.8,9.23
131.7,13.92,9.25
132.9,14.0,9.25
134.2,14.09,9.37
135.4,14.11,9.53
136.7,14.16,9.62
137.9,14.26,10.9
139.1,14.35,10.91
140.4,14.37,10.91
141.6,14.48,10.95
142.8,14.61,10.94
144.0,14.76,10.95
145.2,14.87,10.94
146.4,15.13,10.94
147.6,15.39,10.94
148.8,15.67,10.94
150.0,15.8,10.94
151.2,15.87,10.94
152.4,15.08,10.94
153.6,14.84,4.96
155.3,11.1,4.96
156.5,11.25,4.96
157.7,11.4,4.96
158.9,11.45,4.96
160.1,11.48,4.96
161.2,11.49,4.96
162.4,11.49,4.96
163.6,11.49,4.96
164.8,11.49,4.96
166.0,11.52,4.96
167.2,11.64,5.12
168.4,11.65,5.12
169.6,11.66,5.13
170.8,11.68,5.12
172.0,11.69,5.12
173.2,11.69,5.11
174.3,11.7,5.11
175.5,11.7,5.11
176.7,11.71,5.11
177.9,12.35,5.16
179.0,12.35,5.78
180.2,12.98,5.81
181.4,12.98,6.44
