# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.87,
1.0,0.87,
2.0,0.87,
3.0,0.88,
4.1,0.88,
5.1,0.88,
6.1,0.88,
7.1,0.88,
8.1,0.88,
9.1,0.88,
10.1,1.11,
11.1,1.29,
12.2,1.35,
13.2,1.38,
14.2,1.39,
15.4,1.39,
16.4,1.39,
17.5,1.39,
18.5,1.39,
19.5,1.39,
20.5,1.39,
21.5,1.39,
22.5,1.39,
23.6,1.39,
24.6,1.39,
25.6,1.39,
26.6,1.39,
27.6,1.39,
28.7,1.39,
29.7,1.39,
30.7,1.39,
31.7,1.5,
32.7,1.52,
33.7,1.54,
34.7,1.57,
35.8,1.79,
36.8,1.66,
37.8,1.69,
38.8,1.74,
39.8,1.74,
40.8,1.72,
41.8,1.65,
42.9,1.7,
43.9,1.7,
44.9,1.83,
45.9,1.95,
46.9,1.69,
47.9,1.75,
48.9,1.69,
50.0,1.79,
51.0,1.71,
52.0,1.66,
53.0,1.69,
54.0,1.7,
55.0,1.71,
56.1,1.72,
57.1,1.72,
58.1,1.73,
59.1,1.74,
60.1,1.76,
61.1,2.44,
62.2,2.57,
63.2,3.11,
64.2,3.85,
65.2,2.02,
66.2,2.7,
67.2,2.94,
68.3,2.95,
69.3,2.99,
70.3,3.0,
71.3,3.0,
72.3,3.02,
73.3,3.1,
74.4,3.75,
75.4,3.77,
76.4,3.78,
77.4,3.78,
78.4,3.78,
79.4,3.86,
80.5,3.87,
81.5,3.88,
82.5,3.9,
83.5,3.91,
84.5,3.92,
85.5,3.27,
86.6,3.27,
87.6,3.27,
88.6,3.27,
89.6,3.27,
90.6,3.27,
91.6,3.27,
92.7,3.27,
93.7,3.27,
94.7,3.27,
95.7,3.27,
96.7,3.27,
97.7,3.27,
98.7,3.27,
99.7,3.27,
100.8,3.27,
101.8,3.27,
102.8,3.27,
103.8,3.27,
104.8,3.27,
105.8,3.27,
106.8,3.27,
107.8,3.27,
108.8,3.27,
109.8,3.27,
110.9,3.27,
111.9,3.27,
112.9,3.27,
113.9,3.27,
114.9,3.27,
115.9,3.27,
116.9,3.27,
117.9,3.27,
119.0,3.27,
120.0,3.27,
121.0,3.27,
122.0,3.27,
123.0,3.27,
124.0,3.27,
125.0,3.27,
126.0,3.27,
127.1,3.27,
128.1,3.27,
129.1,3.27,
130.1,3.27,
131.1,3.27,
132.1,3.27,
133.2,3.27,
134.2,3.27,
135.2,3.27,
136.2,3.27,
137.2,3.27,
138.2,3.27,
139.2,3.27,
140.3,3.27,
141.3,3.27,
142.3,3.27,
143.3,3.27,
144.3,3.27,
145.3,3.27,
146.3,3.27,
147.4,3.27,
148.4,3.27,
149.4,3.27,
150.4,3.27,
151.4,3.27,
152.4,3.27,
153.5,3.27,
154.5,3.27,
155.5,3.27,
156.5,3.27,
157.5,3.27,
