# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,1.61,
1.0,1.61,
2.0,1.61,
3.0,1.61,
4.1,1.61,
5.1,1.61,
6.1,1.61,
7.1,1.61,
8.1,1.61,
9.1,1.61,
10.1,1.61,
11.2,1.61,
12.2,1.61,
13.2,1.61,
14.2,1.61,
15.2,1.61,
16.2,1.61,
17.2,1.63,
18.2,1.65,
19.3,1.69,
20.3,1.73,
21.3,2.39,
22.3,2.52,
23.3,3.09,
24.4,4.0,
25.4,2.08,
26.4,2.82,
27.4,2.96,
28.4,3.01,
29.5,3.02,
30.5,3.02,
31.5,3.07,
32.5,3.67,
33.5,3.7,
34.5,3.79,
35.5,3.79,
36.5,3.79,
37.6,3.88,
38.6,3.26,
39.6,3.26,
40.6,3.26,
41.6,3.26,
42.6,3.26,
43.6,3.26,
44.7,3.26,
45.7,3.26,
46.7,3.26,
47.7,3.26,
48.7,3.26,
