# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,15.33,6.06
1.2,15.32,5.97
2.4,15.32,5.92
3.6,15.34,5.87
4.8,15.3,5.82
6.0,15.25,5.82
7.2,15.27,5.82
8.5,15.26,5.81
9.7,15.35,5.94
10.9,15.36,5.93
12.1,15.38,5.98
13.3,15.42,5.98
14.5,15.41,5.99
15.7,15.44,6.01
16.9,15.49,0.77
18.8,11.12,0.78
20.0,11.39,0.77
21.2,11.47,0.78
22.5,11.48,0.77
23.6,11.5,0.77
24.8,11.51,0.76
26.0,11.5,0.77
27.2,11.51,0.76
28.4,11.54,0.77
29.6,11.59,0.92
30.8,11.6,0.92
32.0,11.62,0.92
33.2,11.63,0.92
34.4,11.64,0.92
35.6,11.65,0.92
36.8,11.66,0.92
38.0,11.67,0.92
39.2,11.66,0.92
40.4,12.23,1.59
41.6,12.86,1.62
42.8,12.88,2.24
43.9,13.36,2.24
45.1,14.15,2.24
46.3,14.87,2.25
47.5,15.5,2.24
48.7,16.11,2.25
49.9,16.82,2.24
51.1,17.48,2.25
52.3,17.23,2.68
53.5,16.5,3.43
54.7,15.77,4.21
55.9,14.97,4.96
57.1,14.57,5.56
58.3,14.81,5.81
59.5,12.89,5.81
60.7,13.22,6.0
61.9,13.5,6.0
63.1,13.62,6.0
64.3,13.75,6.0
65.5,13.8,6.0
66.7,13.8,6.0
67.9,13.8,6.0
69.1,13.8,6.0
70.3,13.83,6.0
71.5,13.86,5.94
72.7,13.86,5.94
73.9,13.86,5.95
75.1,13.86,5.94
76.4,13.86,5.95
77.6,13.86,5.94
78.8,13.86,5.95
80.0,13.88,5.94
81.2,13.88,5.94
82.4,13.87,5.94
83.6,13.91,5.95
84.8,13.93,5.94
86.0,13.92,5.94
87.2,13.92,5.94
88.3,13.91,5.94
89.5,13.91,5.94
90.7,13.88,5.94
91.9,13.86,5.94
93.1,13.87,5.94
94.3,13.87,5.94
95.5,13.87,5.94
96.7,13.86,5.95
97.9,14.02,5.99
99.1,14.06,5.99
100.3,14.06,5.98
101.5,14.05,5.98
102.7,14.05,5.97
103.9,14.04,5.98
105.1,14.02,5.98
106.3,14.02,5.98
107.4,14.03,5.98
108.7,14.03,5.97
109.9,14.03,5.97
111.0,14.02,5.97
112.2,14.03,5.97
113.4,14.03,5.97
114.6,13.92,5.97
115.8,13.93,5.97
117.0,13.93,5.97
118.2,13.93,5.97
119.4,13.93,5.97
120.6,13.94,5.97
121.7,13.94,5.97
123.0,13.93,5.97
124.2,13.93,5.97
125.4,13.94,5.97
126.5,13.94,5.97
127.7,13.94,5.97
128.9,13.95,5.97
130.1,13.95,5.97
131.3,13.95,5.97
132.5,13.95,5.97
133.8,13.96,5.97
135.0,13.96,5.97
136.2,13.96,5.97
137.4,13.96,5.97
138.6,13.96,5.97
139.8,14.0,5.97
140.9,14.0,5.97
142.2,14.0,5.97
143.3,13.99,5.97
144.5,13.99,5.97
145.7,14.0,5.94
146.9,14.0,5.94
148.1,14.0,5.94
149.3,13.99,5.94
150.5,13.97,5.94
151.7,13.97,5.94
152.9,13.97,5.94
154.1,13.98,5.94
155.3,13.98,5.94
156.5,13.98,5.94
157.7,13.98,5.93
158.9,13.99,5.93
160.1,14.05,6.02
161.3,14.05,5.99
